Number,Type,Release date/date of original information retrieval,Source,Accessed on,Manufacturer,Product,Hash rate in Mh/s,Power in W,Efficiency in Mh/J
,,1-Oct-2013,https://bitcointalk.org/index.php?topic=271056.0,06-May-2018,,,,,
26,ASIC,1-Oct-2013,https://www.bitcoinmining.com/bitcoin-mining-hardware/ ,06-May-2018,KnC Miner,KnC Jupiter,"500,000",600,833
,,1-Oct-2013,https://www.coindesk.com/kncminer-begins-shipping-jupiter-bitcoin-mining-rigs/,06-May-2018,,,,,
27,ASIC,11-Oct-2013,https://www.bitcoinmining.com/bitcoin-mining-hardware/ ,06-May-2018,KnC Miner,KnC Saturn,"250,000",300,833
,,11-Oct-2013,https://bitcointalk.to/index.php?topic=310339.0,06-May-2018,,,,,
28,ASIC,21-Nov-2013, https://www.bitcoinmining.com/bitcoin-mining-hardware/,06-May-2018,Bitmain,AntMiner S1,"180,000",360,500
,,21-Nov-2013,https://bitcointalk.org/index.php?topic=341620.0,06-May-2018,,,,,
,,21-Nov-2013,https://en.bitcoin.it/wiki/Mining_hardware_comparison,06-May-2018,,,,,
29,ASIC,8-Dec-2013,https://www.bitcoinmining.com/bitcoin-mining-hardware/ ,06-May-2018,HashBuster,HashBuster Micro,"20,000",30,667
,,8-Dec-2013,http://miningonmyown.com/tag/hashbuster-micro/,06-May-2018,,,,,
30,ASIC,11-Dec-2013,https://www.bitcoinmining.com/bitcoin-mining-hardware/,06-May-2018,ASICMiner,ASICMiner BE Cube,"30,000",200,150
,,11-Dec-2013,https://www.amazon.com/ASICMiner-Block-Erupter-Cube-Miner/dp/B00H8K3MZU ,06-May-2018,,,,,
31,ASIC,29-Jan-2014,https://en.bitcoin.it/wiki/Mining_hardware_comparison ,06-May-2018,CoinTerra,CoinTerra TerraMiner IV,"1,600,000","2,100",762
,,29-Jan-2014,https://coinreport.net/cointerra-terraminer-bitcoin/,06-May-2018,,,,,
32,ASIC,10-Feb-2014,https://en.bitcoin.it/wiki/Mining_hardware_comparison ,06-May-2018,Bitmain,AntMiner U1,"1,600",2,800
,,10-Feb-2014,http://bitcoinist.com/bitmain-antminer-u1-review-hands-on/,06-May-2018,,,,,
,,10-Feb-2014,https://www.bitcoinmining.com/bitcoin-mining-hardware/,06-May-2018,,,,,
33,ASIC,7-Mar-2014,https://en.bitcoin.it/wiki/Mining_hardware_comparison ,06-May-2018,HashFast,Sierra Evo 3,"2,000,000","2,200",909
,,7-Mar-2014,http://www.topbitcoinmininghardware.com/hashfast-sierra-bitcoin-miner-review/,06-May-2018,,,,,
34,ASIC,23-Mar-2014,https://www.bitcoinmining.com/bitcoin-mining-hardware/ ,06-May-2018,BitFury,FURY - NanoFury NF2,"4,000",5,741
,,23-Mar-2014,https://bitcointalk.org/index.php?topic=526925,06-May-2018,,,,,
35,ASIC,1-Apr-2014,https://en.bitcoin.it/wiki/Mining_hardware_comparison ,06-May-2018,Bitmain,AntMiner S2,"1,000,000","1,100",909
,,1-Apr-2014,https://www.ccn.com/bitmain-new-antminer-s2-1ths-miner/,06-May-2018,,,,,
,,1-Apr-2014,https://www.bitcoinmining.com/bitcoin-mining-hardware/,06-May-2018,,,,,
36,ASIC,12-Apr-2014,https://www.bitcoinmining.com/bitcoin-mining-hardware/ ,06-May-2018,Canaan,Avalon USB Nano 3,"3,600",3,1176
,,12-Apr-2014,https://bitcointalk.org/index.php?topic=1022764.0,06-May-2018,,,,,
37,ASIC,23-May-2014,https://www.bitcoinmining.com/bitcoin-mining-hardware/ ,06-May-2018,BTC Garden,BTC Garden AM-V1 310 GH/s,"310,000",326,952
,,23-May-2014,https://bitcointalk.org/index.php?topic=622439.0,06-May-2018,,,,,
38,ASIC,25-Jun-2014,https://www.bitcoinmining.com/bitcoin-mining-hardware/ ,06-May-2018,Rockminer,ROCKMINER R-BOX,"32,000",45,709
